calories,carbohydrate,sugar,protein,category,servings,high_traffic
908.63,42.53,1.21,46.13,Pork,4,1
1716.03,19.99,6.71,25.29,Chicken,2,1
74.73,2.99,1.18,0.22,Potato,6,1
716.84,15.12,4.17,2.25,Potato,6,1
48.93,65.68,1.62,9.55,Meat,4,1
,,,,Meat,4,1
1272.1,3.13,0.73,25.44,Chicken,1,0
228.51,40.37,5.18,4.55,Potato,1,1
106.87,0.88,7.28,5.67,Vegetable,4,1
,,,,Chicken,4,0
213.77,58.08,1.59,1.19,Beverages,6,0
181.86,33.04,44.67,5.48,Dessert,4,1
76.08,13.95,8.59,1.05,Beverages,4,0
529.26,7.54,6.94,25.21,Meat,4,1
575.07,69.94,1.18,1.8,Vegetable,1,1
,,,,Dessert,6,1
,,,,Dessert,4,1
633.17,20.0,2.35,26.11,Lunch/Snacks,4,1
544.01,39.29,1.75,2.3,Chicken,6,1
388.44,12.89,4.62,13.93,Pork,4,1
110.07,4.07,9.1,8.88,Potato,6,1
,,,,Pork,1,1
,,,,Meat,2,0
487.86,142.22,5.21,1.09,Potato,6,1
18.23,22.32,5.14,18.37,Potato,6,1
367.3,89.84,6.96,73.35,Chicken,2,0
299.14,3.17,0.4,32.4,Lunch/Snacks,4,0
439.11,38.45,2.72,15.7,Pork,1,1
295.62,22.47,29.72,7.76,Dessert,6,1
380.75,24.12,2.81,7.02,Potato,4,1
293.36,19.16,9.4,1.32,Pork,2,0
41.29,4.45,3.04,9.08,Chicken,4,0
511.39,6.26,7.17,6.62,Dessert,4,1
287.32,10.24,2.32,2.18,Beverages,1,0
2.98,9.81,28.58,19.11,Chicken,1,0
72.71,38.4,4.37,7.44,Breakfast,4,0
651.82,63.66,5.25,52.18,One Dish Meal,6,1
216.1,7.93,1.2,151.64,Chicken,6,0
71.97,16.94,0.95,3.37,Vegetable,2,1
4.22,3.46,10.93,0.74,Beverages,6,0
550.71,11.53,0.35,0.0,Potato,2,1
262.29,60.13,72.49,5.07,Dessert,4,1
182.21,11.66,0.91,73.94,Chicken,4,1
388.37,13.67,11.13,2.67,Breakfast,6,0
504.09,32.76,1.46,25.73,One Dish Meal,2,0
97.03,30.56,38.63,0.02,Beverages,4,1
617.84,16.31,4.25,9.59,Chicken,1,1
617.5,14.68,9.88,3.12,Dessert,6,1
309.67,23.22,10.01,7.25,Chicken,1,0
336.27,37.38,6.53,23.12,Lunch/Snacks,1,1
98.67,1.43,7.73,8.14,Chicken,4,1
384.93,74.38,76.53,2.17,Dessert,2,0
484.65,60.94,1.05,4.45,Potato,4,1
,,,,Chicken,4,0
239.9,51.13,131.39,3.38,Dessert,2,1
1724.25,45.52,0.07,49.37,Breakfast,1,1
141.66,38.53,2.96,10.13,Potato,4,1
14.96,37.05,15.71,0.01,Beverages,4,0
114.0,113.65,3.1,26.36,Lunch/Snacks,4,0
207.37,12.05,22.03,0.38,Beverages,4,0
248.28,48.54,3.99,113.85,Chicken,2,0
859.11,73.16,14.6,3.3,Dessert,6,1
134.33,23.47,4.46,23.21,Vegetable,4,1
1580.48,16.2,8.67,10.55,Meat,4,0
43.91,48.16,4.58,7.92,Breakfast,4,0
266.41,58.44,4.19,10.96,Chicken,4,0
113.97,12.54,0.64,7.93,Vegetable,6,1
0.64,75.64,3.26,6.95,Breakfast,1,0
51.19,39.96,8.11,18.31,Potato,4,1
109.42,51.67,2.54,4.5,Lunch/Snacks,1,1
574.75,13.12,1.84,13.85,Potato,4,1
856.4,53.27,11.63,6.4,Vegetable,4,1
382.43,62.95,19.81,180.06,Pork,4,1
510.79,48.79,1.87,7.22,Lunch/Snacks,1,1
234.26,9.58,10.0,2.88,Potato,4,1
1105.15,6.63,3.79,71.51,Chicken,1,0
183.94,47.95,9.75,46.71,Chicken,4,0
185.75,26.67,2.21,22.35,One Dish Meal,1,0
3.07,45.74,16.77,9.36,Breakfast,4,0
134.48,45.5,37.08,0.2,Chicken,4,0
11.6,39.04,13.91,4.06,Dessert,4,0
90.95,15.03,5.32,19.29,Breakfast,1,1
207.57,1.52,4.46,15.05,One Dish Meal,6,1
88.17,49.37,0.01,0.4,Beverages,6,0
12.06,41.93,0.84,15.38,Breakfast,1,0
161.81,16.8,30.56,0.14,Beverages,4,0
472.91,8.68,1.91,15.08,Meat,4,1
38.22,13.09,3.8,2.09,Beverages,1,0
64.15,6.14,0.27,29.33,Meat,2,1
521.32,4.88,11.69,32.98,Chicken,6,1
,,,,Chicken,4,0
1.56,59.87,6.57,35.0,Pork,4,1
160.43,11.37,0.6,0.24,Potato,6,1
255.92,157.92,2.18,3.47,Potato,4,1
349.19,27.38,12.55,97.89,One Dish Meal,4,1
1078.33,13.48,11.42,136.65,Pork,6,1
25.91,0.82,3.3,44.76,Chicken,4,0
110.86,17.28,10.33,60.57,Chicken,4,0
1428.47,19.25,0.13,31.58,Chicken,4,0
674.75,21.48,3.93,23.86,Lunch/Snacks,1,1
133.8,5.48,0.44,57.76,Pork,6,1
51.87,31.1,4.06,48.65,Chicken,2,0
135.07,26.32,4.58,7.11,Potato,4,1
20.81,33.92,5.44,18.54,Lunch/Snacks,4,1
850.16,2.56,1.52,9.31,Lunch/Snacks,6,1
390.39,50.5,1.84,32.66,Lunch/Snacks,1,1
491.01,33.94,6.08,5.45,Dessert,4,0
76.77,48.84,22.95,4.88,Meat,2,1
10.6,64.88,1.62,23.77,Lunch/Snacks,2,0
249.33,69.42,7.91,11.29,Dessert,4,1
1695.82,0.1,0.39,33.17,Meat,1,1
167.09,7.7,30.73,12.87,Dessert,6,0
,,,,Pork,4,1
,,,,Lunch/Snacks,4,1
197.11,4.74,18.82,2.55,Beverages,1,0
513.75,65.87,18.63,18.39,Lunch/Snacks,4,0
17.7,78.46,23.19,0.22,Dessert,2,0
337.25,31.92,8.0,27.51,One Dish Meal,1,1
151.88,7.41,6.09,40.24,One Dish Meal,4,1
2.14,20.11,0.16,1.42,Beverages,4,0
633.87,16.11,2.47,7.25,Lunch/Snacks,6,0
1767.53,9.96,4.16,70.4,Pork,4,1
581.97,8.29,29.15,0.43,Beverages,4,0
259.32,90.65,3.8,85.81,One Dish Meal,1,1
219.25,3.19,5.82,12.75,Vegetable,4,1
1205.68,2.78,1.24,109.92,Meat,6,0
5.87,47.91,30.06,24.72,Meat,4,1
16.87,61.77,5.91,10.32,Breakfast,1,1
920.73,9.91,38.66,0.36,Dessert,4,1
382.85,3.38,44.22,0.36,Beverages,2,0
47.89,17.17,9.89,0.89,Beverages,6,0
732.96,8.31,0.91,0.68,Potato,6,1
84.27,5.07,8.97,0.38,Beverages,1,0
633.79,228.67,1.1,4.14,Potato,4,1
241.33,32.19,1.43,1.0,Vegetable,2,1
617.11,23.1,32.83,45.89,Breakfast,6,0
581.7,11.48,7.94,13.64,Chicken,4,1
12.99,68.8,3.64,11.38,Lunch/Snacks,1,1
717.72,71.21,14.02,7.1,Breakfast,4,0
416.12,3.43,1.05,10.12,Chicken,6,1
,,,,Chicken,6,1
96.06,51.94,2.65,13.07,Breakfast,6,1
258.16,7.53,1.2,40.32,Chicken,6,0
32.92,170.88,52.05,6.27,Dessert,4,1
22.02,31.2,0.74,70.07,Chicken,1,1
93.62,3.74,29.41,4.62,Dessert,4,1
727.55,2.81,1.01,28.55,Meat,4,1
458.53,28.89,6.32,92.01,Breakfast,1,0
263.94,0.98,7.41,13.08,Pork,4,1
0.76,1.9,3.76,0.05,Vegetable,2,1
999.59,140.22,5.08,0.76,One Dish Meal,1,1
1337.71,3.84,8.48,0.95,Vegetable,6,1
45.62,15.34,3.27,2.16,Breakfast,6,1
719.02,49.37,1.22,5.72,Potato,4,1
643.99,31.56,2.3,57.14,Meat,2,1
1330.3,1.63,6.39,70.31,Meat,4,0
44.55,99.82,2.62,15.57,Breakfast,4,0
23.45,17.98,7.1,9.73,Potato,2,1
61.82,15.63,5.23,19.06,Pork,4,0
442.15,5.62,0.79,59.69,One Dish Meal,2,1
32.36,1.5,13.67,12.09,Breakfast,1,1
205.98,61.85,2.89,14.45,Chicken,4,1
565.23,91.95,13.44,3.21,Potato,1,0
94.44,13.41,2.48,3.24,Potato,4,1
478.18,89.41,0.58,9.66,Lunch/Snacks,4,0
66.16,10.45,1.07,8.81,One Dish Meal,2,1
886.47,78.02,16.39,2.37,Breakfast,2,0
253.14,19.23,11.22,2.35,One Dish Meal,2,1
299.82,40.79,4.36,1.06,Chicken,6,1
275.18,5.41,7.9,0.73,Chicken,2,0
9.52,6.4,8.36,49.57,Meat,1,1
84.83,26.93,43.34,10.52,Dessert,6,0
748.98,38.66,2.53,32.23,Pork,6,0
361.17,21.52,3.38,19.22,Lunch/Snacks,6,0
575.63,20.71,0.2,6.24,Breakfast,6,1
298.69,1.18,11.47,0.03,Beverages,6,0
324.0,79.18,1.7,7.03,One Dish Meal,4,1
534.7,0.99,0.32,3.17,Potato,1,1
,,,,One Dish Meal,2,1
878.7,7.7,3.87,35.12,Pork,6,1
126.31,45.48,6.26,10.44,Dessert,1,1
532.01,31.76,1.44,17.96,Lunch/Snacks,4,1
2332.32,7.47,3.62,34.33,One Dish Meal,1,1
19.91,35.47,2.17,11.82,Breakfast,1,1
65.52,2.67,0.07,0.51,Dessert,2,0
493.26,3.1,5.43,17.35,Breakfast,2,0
237.97,3.35,1.21,5.4,Vegetable,6,1
166.44,0.53,29.68,4.86,Dessert,6,1
124.79,158.92,1.76,23.07,Breakfast,1,1
927.15,0.05,1.73,12.29,Potato,4,1
255.77,111.08,14.46,2.17,Pork,1,1
56.29,22.35,11.38,34.79,One Dish Meal,4,1
1270.46,10.74,2.19,51.99,Pork,4,1
229.58,39.93,1.09,6.66,Potato,4,1
458.66,7.37,13.37,78.76,Chicken,1,0
239.23,32.87,3.37,40.62,Breakfast,4,0
553.67,2.65,1.7,7.96,Vegetable,4,1
143.51,6.17,0.54,5.0,Pork,4,1
1317.56,24.42,26.36,85.79,Pork,4,1
403.7,1.97,13.94,1.08,Breakfast,4,0
790.21,3.92,5.93,23.16,Chicken,4,1
7.63,38.99,5.21,0.64,Vegetable,4,1
,,,,Vegetable,2,1
1241.83,6.01,10.36,11.99,Pork,4,1
1053.21,12.03,16.64,4.92,One Dish Meal,2,1
516.57,36.73,4.34,5.37,Chicken,4,0
813.08,88.55,0.47,136.89,Chicken,1,1
152.42,12.11,0.38,5.56,One Dish Meal,2,0
975.9,10.81,3.04,60.25,Chicken,4,0
76.76,0.65,48.21,0.2,Beverages,4,0
389.31,138.05,7.81,7.94,Potato,6,1
,,,,Lunch/Snacks,4,1
857.34,67.38,4.97,2.8,Dessert,4,0
69.69,76.09,1.72,99.13,One Dish Meal,2,1
372.27,81.52,3.77,22.74,One Dish Meal,4,1
1694.81,41.54,10.96,32.72,Meat,4,1
23.84,54.51,0.63,0.59,Breakfast,6,1
434.29,64.57,2.91,7.16,Potato,2,1
50.94,37.18,0.5,10.84,Breakfast,1,0
,,,,Pork,6,1
,,,,Vegetable,4,1
87.04,7.73,84.96,9.45,Dessert,1,1
,,,,Pork,6,1
,,,,Pork,6,1
891.7,3.0,4.97,31.36,Breakfast,4,1
264.62,1.5,18.44,32.62,Chicken,4,0
335.43,23.88,2.77,38.18,Vegetable,6,1
246.78,12.58,2.81,23.36,Pork,2,1
826.83,145.32,6.48,3.04,Potato,4,1
47.74,5.33,0.87,17.42,Chicken,4,1
393.73,39.26,1.33,17.38,Chicken,1,0
57.63,7.79,4.95,3.75,Vegetable,4,1
247.79,32.82,4.57,10.06,Vegetable,2,1
468.76,35.6,1.99,20.66,Meat,4,1
238.3,0.21,9.43,2.64,Meat,2,0
139.52,26.54,3.08,6.83,Chicken,4,0
64.27,0.16,51.64,0.74,Beverages,2,0
791.49,98.51,5.8,91.51,Breakfast,1,0
41.52,135.88,6.02,38.49,Breakfast,4,0
541.86,53.39,1.1,8.41,Vegetable,4,1
1017.32,85.12,1.71,1.85,Potato,1,0
374.75,3.42,18.07,25.39,One Dish Meal,1,1
63.05,10.13,5.18,15.16,Lunch/Snacks,6,0
182.76,530.42,5.8,5.01,Potato,4,1
321.95,1.41,10.76,112.64,Meat,1,1
266.61,35.77,0.97,8.07,Potato,6,1
497.17,1.47,1.51,2.97,Lunch/Snacks,6,1
83.39,13.06,1.62,3.44,Vegetable,6,1
49.5,66.64,4.69,53.33,Breakfast,4,0
260.33,0.51,1.24,4.53,Dessert,1,0
201.19,6.4,56.78,0.13,Beverages,4,0
482.99,53.73,6.53,3.46,Dessert,6,1
363.51,23.52,0.5,78.49,Chicken,1,1
912.77,79.94,1.85,44.36,One Dish Meal,1,1
83.42,8.11,0.37,0.36,Beverages,4,0
473.41,9.91,1.84,6.57,Potato,4,1
899.53,55.54,7.64,18.26,Dessert,2,1
,,,,Chicken,6,1
,,,,Pork,4,1
1161.49,1.53,8.88,12.57,Breakfast,1,1
805.11,194.26,45.95,4.03,Dessert,4,1
999.98,36.65,5.66,16.72,Chicken,4,1
230.27,9.26,0.43,56.8,One Dish Meal,6,1
582.49,12.17,0.13,9.3,Chicken,6,0
643.87,0.7,35.74,12.96,Vegetable,6,1
343.96,23.79,58.88,0.41,Dessert,1,1
260.15,23.07,71.52,3.22,Dessert,2,1
88.59,43.72,3.9,30.75,Lunch/Snacks,4,1
935.77,8.74,2.39,71.88,Chicken,2,0
0.8,12.26,1.33,6.21,Chicken,6,0
435.94,58.65,39.46,11.18,Dessert,1,1
818.53,4.97,1.25,31.59,Lunch/Snacks,4,1
497.71,3.73,18.85,8.09,Chicken,2,1
48.5,7.49,0.11,17.24,Breakfast,4,0
18.62,22.46,10.06,1.12,Beverages,6,0
75.89,22.51,8.18,17.64,Meat,6,1
732.56,8.13,1.98,0.07,Breakfast,4,0
,,,,Potato,2,1
81.01,0.35,1.27,1.19,Beverages,4,0
199.54,9.1,8.17,10.1,Meat,6,1
2703.12,6.4,2.17,28.2,Pork,6,1
402.0,47.57,0.36,0.02,Beverages,6,0
1362.81,26.21,1.94,125.43,Chicken,4,0
52.08,75.39,49.53,28.37,Pork,6,1
288.55,142.28,50.17,0.47,Dessert,4,0
1045.25,73.99,0.53,34.94,Meat,1,1
226.38,13.44,0.45,37.7,Potato,4,1
995.98,54.44,16.15,132.87,Chicken,2,0
197.73,224.16,2.97,1.26,Potato,2,1
642.71,12.75,2.33,35.22,Chicken,2,0
777.37,101.73,2.52,5.12,Dessert,4,1
,,,,Dessert,2,1
286.7,29.92,2.8,28.07,Breakfast,4,1
672.26,88.81,6.31,20.89,Lunch/Snacks,2,0
889.25,13.44,1.61,2.58,One Dish Meal,2,0
35.63,2.52,19.21,0.18,Beverages,1,0
296.23,8.84,5.1,0.68,Beverages,6,0
561.43,11.83,9.0,189.33,Pork,6,1
127.84,65.14,1.91,29.65,Lunch/Snacks,4,0
30.37,38.4,0.1,35.2,Vegetable,2,1
213.0,55.84,11.98,1.19,Chicken,4,1
425.75,162.11,0.64,7.73,Lunch/Snacks,6,1
158.64,45.71,4.66,91.16,Chicken,2,0
699.44,56.65,3.2,3.48,Vegetable,4,1
231.2,15.18,6.96,70.75,Chicken,1,1
128.46,151.69,8.12,0.76,Dessert,4,0
715.66,8.98,1.97,0.93,Vegetable,4,1
1568.0,15.49,5.23,53.23,Chicken,1,0
27.46,8.3,6.91,18.15,Meat,4,1
148.17,39.47,0.16,14.83,Lunch/Snacks,4,0
597.75,34.77,4.7,38.26,Chicken,1,1
1070.05,124.16,2.18,50.84,One Dish Meal,6,1
951.74,29.42,3.57,13.87,Pork,2,1
187.46,47.62,16.3,78.81,Pork,1,1
27.78,25.23,17.58,0.04,Beverages,4,0
299.17,20.65,6.34,12.65,Pork,6,1
190.33,22.62,0.51,11.92,Meat,4,0
86.02,31.49,1.27,6.72,Lunch/Snacks,6,1
914.28,42.68,3.09,2.88,Breakfast,1,0
109.21,7.37,15.64,0.5,Beverages,1,0
,,,,Vegetable,4,1
1275.23,33.13,8.34,44.23,Chicken,4,0
,,,,Lunch/Snacks,6,1
164.76,33.58,17.87,220.14,One Dish Meal,2,1
284.59,9.73,1.76,111.57,Meat,4,1
161.32,32.21,7.15,6.09,Lunch/Snacks,4,1
227.88,21.19,15.05,83.9,Pork,4,0
452.67,21.28,12.13,144.71,Chicken,2,1
164.86,1.62,7.57,48.35,Pork,4,1
431.28,14.69,4.17,32.79,One Dish Meal,2,1
578.4,9.43,4.4,8.36,Chicken,1,1
290.1,4.43,1.05,40.64,Breakfast,4,0
253.63,12.99,5.75,9.5,Potato,1,0
229.68,10.72,5.74,1.34,Vegetable,4,1
627.16,34.96,41.5,16.15,Dessert,6,0
102.32,46.13,15.64,6.5,Lunch/Snacks,6,0
2508.47,18.11,10.6,84.23,Chicken,4,0
,,,,Lunch/Snacks,4,0
46.99,24.72,2.13,10.8,Breakfast,4,0
145.89,30.54,8.47,0.82,Beverages,4,0
607.13,23.0,39.52,26.15,Breakfast,4,1
305.22,41.6,0.18,25.99,Chicken,4,0
11.73,17.57,6.07,0.91,Beverages,4,0
452.51,2.86,9.5,16.78,Chicken,2,0
573.69,9.55,5.19,7.83,Meat,4,0
38.92,12.9,11.32,69.53,Chicken,1,0
523.69,1.98,0.72,41.55,Chicken,6,1
576.38,15.98,0.54,36.23,Pork,2,0
796.74,44.85,2.36,3.44,Potato,4,1
191.78,9.17,0.65,66.69,Chicken,1,0
751.18,163.33,13.71,29.39,Lunch/Snacks,6,0
187.41,19.12,86.97,4.49,Dessert,6,0
113.03,23.45,0.47,62.08,Meat,4,1
166.85,159.72,2.8,21.47,Breakfast,4,0
1715.48,44.66,6.67,32.98,Pork,4,1
39.82,9.71,19.24,8.5,Dessert,2,0
1588.26,67.84,13.43,5.84,Dessert,6,1
836.95,32.82,59.04,0.32,Beverages,2,0
108.62,13.68,6.72,0.23,Beverages,2,0
137.63,191.21,2.05,5.33,Potato,2,1
482.51,26.21,5.29,18.93,Potato,4,1
1292.18,89.2,14.22,80.03,Chicken,4,1
138.11,3.7,5.24,63.56,Chicken,4,1
313.53,41.44,5.95,5.07,Breakfast,2,0
113.84,37.57,1.21,21.31,Chicken,4,0
105.95,55.8,0.07,7.55,Vegetable,2,1
177.84,10.67,2.21,3.02,Lunch/Snacks,2,1
278.75,39.36,5.05,0.07,Breakfast,1,0
414.54,17.84,1.23,7.5,Potato,6,1
60.62,140.98,148.75,5.53,Dessert,1,0
322.89,14.86,0.02,6.84,Lunch/Snacks,6,1
542.49,6.93,26.16,29.67,Lunch/Snacks,4,0
337.48,27.98,2.26,19.05,Potato,2,1
883.12,70.81,6.85,94.0,Chicken,6,0
708.64,45.44,4.55,221.91,Chicken,6,1
332.63,25.69,6.66,1.73,Beverages,4,0
448.59,181.98,36.47,12.03,One Dish Meal,6,1
347.06,9.5,5.92,82.58,Chicken,4,0
242.1,6.68,0.25,29.82,Pork,4,1
128.3,14.75,3.01,16.34,Pork,4,1
602.74,28.03,2.92,5.8,Breakfast,1,0
1114.94,31.45,13.02,1.33,Meat,2,1
35.48,38.56,0.66,0.92,Potato,4,1
799.39,23.14,3.33,19.75,One Dish Meal,1,0
665.01,11.65,19.16,26.66,Breakfast,4,0
285.01,2.2,15.81,0.76,Beverages,4,0
2068.07,34.23,1.46,10.02,Potato,1,1
400.37,23.75,2.21,8.54,Breakfast,2,0
,,,,Pork,6,1
67.72,11.03,5.32,40.39,Pork,1,1
310.52,12.54,3.21,1.6,Chicken,6,0
,,,,One Dish Meal,4,0
12.97,28.68,11.74,0.61,Beverages,4,0
62.85,29.98,4.41,40.65,Chicken,4,0
92.01,51.29,9.66,1.95,Dessert,4,1
539.78,14.84,17.29,21.55,One Dish Meal,2,0
47.17,60.93,13.82,10.8,Vegetable,4,1
918.21,13.01,7.68,122.39,Chicken,4,0
291.89,36.28,63.14,7.02,Dessert,4,1
349.29,6.18,1.92,25.18,Vegetable,2,1
,,,,Lunch/Snacks,4,1
718.34,16.61,8.54,4.52,Chicken,4,0
607.52,34.88,5.49,9.79,Lunch/Snacks,4,1
689.29,5.14,1.13,12.72,Vegetable,4,1
626.61,10.72,4.47,5.9,Potato,1,1
241.29,4.25,7.69,9.87,Lunch/Snacks,6,1
65.69,7.99,9.23,14.52,Breakfast,4,1
339.38,5.75,10.19,363.36,Chicken,6,1
263.04,52.87,1.27,19.53,Potato,6,1
768.51,2.32,4.71,11.19,Chicken,4,0
1321.78,70.07,7.75,19.51,Breakfast,1,0
131.92,7.94,2.42,3.56,Vegetable,1,1
988.66,102.72,3.2,17.35,Breakfast,4,0
1635.46,35.0,9.39,42.13,Pork,1,0
2029.33,25.08,0.61,54.0,One Dish Meal,1,1
580.33,22.17,3.77,9.22,Potato,4,1
340.31,0.41,2.29,10.55,Chicken,4,1
51.84,77.02,5.09,6.57,Pork,4,1
32.29,133.9,14.35,0.74,Dessert,6,0
1375.2,18.79,27.83,29.6,Meat,2,0
436.03,7.66,22.3,23.03,Meat,4,1
1110.54,27.97,3.96,28.65,One Dish Meal,4,1
12.24,37.13,3.39,0.28,Vegetable,1,1
379.16,4.79,0.4,5.27,Chicken,4,0
902.54,6.5,7.17,41.6,Pork,2,1
196.68,2.28,9.12,2.17,Vegetable,1,1
350.88,1.34,0.54,0.06,Beverages,4,0
13.62,92.02,0.89,44.92,One Dish Meal,1,1
1471.33,86.51,0.79,0.58,Potato,1,1
336.13,38.56,75.48,14.64,Dessert,1,0
495.13,32.85,4.24,14.21,Potato,6,1
516.76,13.59,2.96,50.19,Chicken,4,0
815.86,68.71,0.98,66.9,Chicken,2,1
74.47,30.82,1.86,4.8,Breakfast,2,0
184.4,4.82,4.14,33.31,Chicken,4,0
328.47,6.01,3.9,33.17,Chicken,4,0
262.12,17.46,0.33,87.05,Chicken,4,0
2282.6,4.5,4.16,31.19,One Dish Meal,4,1
,,,,Potato,4,1
42.3,12.14,1.86,87.25,Chicken,2,0
1161.0,5.31,22.39,44.22,Lunch/Snacks,2,0
92.21,8.53,0.24,14.14,Lunch/Snacks,4,1
504.2,27.24,0.77,8.58,Meat,2,0
474.05,4.67,1.1,39.11,Chicken,1,0
34.97,2.73,30.32,4.95,Breakfast,2,1
338.77,13.88,1.69,0.24,Beverages,2,0
40.53,87.91,104.91,11.93,Dessert,4,0
443.2,16.2,10.35,0.01,Vegetable,4,1
212.15,24.89,1.66,6.13,One Dish Meal,2,1
,,,,Potato,1,1
724.43,5.18,2.1,10.67,One Dish Meal,6,1
659.82,9.88,5.97,4.83,Breakfast,6,0
1356.45,8.6,3.33,2.23,Pork,2,1
,,,,Lunch/Snacks,4,1
